create_network;hopping;sliding;event;replace_float_2;Data;new_avg_degree;avg_degree;new_group_degree;group_degree;number_edges_nodes;mean_degree;average_path;search_best_fit;get_best_fit;tupels_combs;contact_duration;triangle_duration;inter_contact;bonferroni;mapping;other_model;remove_self_loops;to_simple_graph;plot_degree;plot_heatmap;plot_diff_scales;plot_null_model;plot_contact_duration;plot_triangle_duration;plot_inter_duration
Graph;tail;tail;values;columns;read_csv;fillna;fillna;fillna;fillna;nodes;edges;log;Fit;distribution_compare;distribution_compare;sort_values;merge;array;sf;fillna;copy;remove_edges_from;Graph;subplots;heatmap;title;ravel;plot;plot;plot
add_nodes_from;groupby;values;merge;replace;rename;columns;columns;columns;columns;edges;nodes;NaN;generate_random;NaN;NaN;groupby;drop_duplicates;values;array;NaN;assortativity;NaN;NaN;set_title;show;set_text;tolist;ylabel;ylabel;ylabel
groupby;merge;merge;groupby;NaN;index;loc;merge;loc;merge;NaN;NaN;NaN;noise_flag;NaN;NaN;diff;iterrows;log10;NaN;NaN;attribute_mixing_matrix;NaN;NaN;axhline;NaN;twiny;groupby;xlabel;xlabel;xlabel
size;Graph;groupby;Graph;NaN;fillna;groupby;groupby;groupby;groupby;NaN;NaN;NaN;NaN;NaN;NaN;iterrows;cumsum;linspace;NaN;NaN;shuffle;NaN;NaN;axhspan;NaN;bar;size;yscale;yscale;yscale
reset_index;add_nodes_from;Graph;add_nodes_from;NaN;columns;degree;size;degree;size;NaN;NaN;NaN;NaN;NaN;NaN;cumsum;groupby;histogram;NaN;NaN;NaN;NaN;NaN;boxplot;NaN;set_ylabel;reset_index;xscale;xscale;xscale
add_edge;add_edge;add_edge;size;NaN;replace;NaN;reset_index;NaN;reset_index;NaN;NaN;NaN;NaN;NaN;NaN;size;size;NaN;NaN;NaN;NaN;NaN;NaN;xticks;NaN;set_xlim;sqrt;title;title;title
columns;size;add_nodes_from;reset_index;NaN;NaN;NaN;values;NaN;values;NaN;NaN;NaN;NaN;NaN;NaN;reset_index;reset_index;NaN;NaN;NaN;NaN;NaN;NaN;ylabel;NaN;tick_params;subplots;axvline;axvline;axvline
values;reset_index;size;iterrows;NaN;NaN;NaN;Counter;NaN;Counter;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;xlabel;NaN;bar;tight_layout;text;text;text
iterrows;iterrows;reset_index;add_edge;NaN;NaN;NaN;NaN;NaN;tolist;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;show;NaN;set_ylabel;show;legend;legend;legend
set_node_attributes;columns;iterrows;columns;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;set_xlabel;NaN;show;show;show
fillna;values;set_node_attributes;set_node_attributes;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
loc;set_node_attributes;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
merge;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
